(4, 5, 4, 6)
(139, 26, 139, 25)
(174, 6, 175, 5)
(158, 19, 158, 20)
(175, 5, 175, 6)
(38, 4, 39, 4)
(145, 26, 146, 25)
(81, 16, 80, 15)
(168, 5, 168, 4)
(17, 9, 18, 8)
(16, 12, 17, 11)
(13, 10, 12, 11)
(29, 3, 30, 2)
(114, 6, 114, 5)
(42, 3, 43, 3)
(5, 5, 6, 5)
(109, 20, 108, 19)
(169, 4, 168, 5)
(173, 12, 174, 12)
(41, 21, 41, 20)
(28, 2, 29, 3)
(18, 7, 19, 7)
(13, 12, 14, 13)
(30, 23, 29, 22)
(1, 2, 2, 3)
(2, 3, 3, 4)
(18, 10, 17, 10)
(44, 2, 45, 2)
(6, 5, 7, 5)
(32, 2, 33, 3)
(140, 26, 139, 26)
(28, 27, 27, 28)
(145, 25, 145, 26)
(33, 23, 33, 24)
(24, 3, 25, 2)
(146, 25, 145, 25)
(154, 26, 155, 26)
(147, 14, 146, 13)
(149, 9, 150, 9)
(143, 27, 144, 27)
(20, 27, 20, 26)
(175, 6, 174, 6)
(15, 12, 15, 11)
(3, 4, 4, 5)
(23, 3, 24, 3)
(9, 5, 10, 6)
(16, 9, 17, 9)
(27, 28, 28, 28)
(20, 26, 19, 26)
(4, 6, 3, 6)
(13, 9, 13, 10)
(34, 28, 33, 29)
(33, 29, 34, 29)
(28, 1, 28, 2)
(114, 5, 114, 6)
(19, 7, 20, 7)
(20, 7, 21, 7)
(22, 5, 22, 4)
(38, 5, 38, 4)
(168, 4, 169, 4)
(3, 6, 4, 5)
(38, 18, 37, 18)
(37, 18, 38, 19)
(38, 19, 38, 18)
(144, 27, 144, 26)
(174, 12, 173, 12)
(26, 2, 27, 2)
(34, 4, 35, 5)
(41, 4, 42, 3)
(30, 24, 31, 25)
(19, 26, 20, 27)
(34, 29, 34, 28)
(108, 19, 109, 18)
(155, 26, 155, 25)
(29, 23, 30, 23)
(18, 8, 17, 7)
(11, 8, 12, 7)
(23, 27, 22, 27)
(22, 6, 22, 5)
(12, 7, 13, 8)
(17, 11, 18, 10)
(36, 6, 37, 7)
(0, 1, 1, 2)
(29, 22, 29, 23)
(30, 25, 30, 24)
(7, 5, 8, 5)
(158, 20, 159, 19)
(144, 26, 143, 27)
(25, 2, 26, 2)
(21, 7, 22, 6)
(34, 23, 33, 23)
(150, 9, 150, 10)
(150, 10, 149, 9)
(15, 11, 16, 12)
(110, 19, 109, 20)
(17, 10, 16, 9)
(27, 2, 28, 1)
(159, 19, 158, 19)
(30, 2, 31, 2)
(31, 2, 32, 2)
(17, 7, 18, 7)
(8, 5, 9, 5)
(11, 7, 11, 8)
(80, 15, 80, 16)
(40, 5, 41, 4)
(34, 24, 34, 23)
(12, 11, 13, 12)
(139, 25, 140, 26)
(109, 18, 110, 19)
(155, 25, 154, 26)
(43, 3, 44, 2)
(41, 20, 42, 20)
(80, 16, 81, 16)
(0, 0, 0, 1)
(22, 26, 23, 27)
(42, 20, 41, 21)
(33, 3, 34, 4)
(4, 5, 5, 5)
(33, 24, 34, 24)
(39, 4, 38, 5)
(31, 25, 30, 25)
(146, 14, 147, 14)
(13, 8, 13, 9)
(14, 13, 15, 12)
(22, 4, 23, 3)
(38, 7, 39, 6)
(10, 6, 11, 7)
(39, 6, 40, 5)
(22, 27, 22, 26)
(37, 7, 38, 7)
(146, 13, 146, 14)
(35, 5, 36, 6)
(28, 28, 28, 27)
